run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,ivns_profile,vnd_mode,variant,experiment_group
ivns_A-n33-k5_3,ivns,A-n33-k5,3,3,1,1349,1349,-90,True,False,,,,,1,rab,3,7,2,2,1,1,1,1,1,2,Complejidad excesiva: 17 > 14.,0.028001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,4,1,1286,1286,-63,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,2,,0.034001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,5,1,1206,1206,-80,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,2,,0.050002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,6,1,1167,1167,-39,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,2,,0.064003,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,7,1,1128,1128,-39,True,False,,,,,1,rarb,4,10,1,1,1,0,1,1,1,3,,0.078004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,8,1,1107,1107,-21,True,False,,,,,1,raac,4,11,4,4,1,3,1,1,1,4,Complejidad excesiva: 17 > 14.,0.086004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,9,1,1019,1019,-88,True,False,,,,,1,rfrg,4,12,1,1,1,0,1,1,1,5,,0.139007,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,10,1,999,999,-20,True,False,,,,,1,rfg,3,9,2,2,1,1,1,1,1,6,Complejidad excesiva: 15 > 14.,0.159007,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,1,1,1654,1654,-149,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,1,,0.017,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,2,1,1547,1547,-107,True,False,,,,,1,rarac,5,14,2,2,1,1,1,1,1,1,Complejidad excesiva: 17 > 14.,0.031001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,3,1,1449,1449,-98,True,False,,,,,1,rab,3,7,3,3,1,2,1,1,1,2,Complejidad excesiva: 18 > 14.,0.038001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,4,1,1330,1330,-119,True,False,,,,,1,rfrg,4,12,2,2,1,1,1,1,1,3,Longitud excesiva: 12 > 10.,0.089005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,5,1,1255,1255,-75,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,3,,0.095005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,6,1,1155,1155,-100,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,4,,0.107006,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,7,1,1108,1108,-47,True,False,,,,,1,rffe,4,14,3,3,1,2,1,1,1,5,Complejidad excesiva: 17 > 14.,0.145008,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,8,1,1061,1061,-47,True,False,,,,,1,rarb,4,10,1,1,1,0,1,1,1,6,,0.161008,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,9,1,1030,1030,-31,True,False,,,,,1,rfrg,4,12,1,1,1,0,1,1,1,6,,0.20401,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_4,ivns,A-n33-k5,4,10,1,1018,1018,-12,True,False,,,,,1,rffe,4,14,1,1,1,0,1,1,1,6,,0.239012,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,1,1,1579,1579,-147,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,1,,0.015001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,2,1,1505,1505,-74,True,False,,,,,1,raac,4,11,2,2,1,1,1,1,1,2,Complejidad excesiva: 16 > 14.,0.024001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,3,1,1385,1385,-120,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,2,,0.038002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,4,1,1321,1321,-64,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,2,,0.047002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,5,1,1271,1271,-50,True,False,,,,,1,rfg,3,9,4,4,1,3,1,1,1,2,Complejidad excesiva: 17 > 14.,0.061003,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,6,1,1232,1232,-39,True,False,,,,,1,rfg,3,9,4,4,1,3,1,1,1,2,Complejidad excesiva: 17 > 14.,0.075004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,7,1,1213,1213,-19,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,2,,0.085004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,8,1,1149,1149,-64,True,False,,,,,1,rfrg,4,12,1,1,1,0,1,1,1,3,,0.137006,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,9,1,1131,1131,-18,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,3,,0.145006,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_5,ivns,A-n33-k5,5,10,1,1111,1111,-20,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,3,,0.156006,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,1,1,1543,1543,-150,True,False,,,,,1,rfrg,4,12,1,1,1,0,1,1,1,1,,0.052003,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,2,1,1425,1425,-118,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,2,,0.065004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,3,1,1336,1336,-89,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,3,,0.073004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,4,1,1265,1265,-71,True,False,,,,,1,raac,4,11,3,3,1,2,1,1,1,3,Cadena desbalanceada por frecuencia de símbolos.,0.081004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,5,1,1237,1237,-28,True,False,,,,,1,rab,3,7,2,2,1,1,1,1,1,4,Complejidad excesiva: 17 > 14.,0.087005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,6,1,1209,1209,-28,True,False,,,,,1,rffe,4,14,1,1,1,0,1,1,1,5,,0.140007,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,7,1,1183,1183,-26,True,False,,,,,1,rab,3,7,2,2,1,1,1,1,1,5,Complejidad excesiva: 21 > 14.,0.147008,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,8,1,1133,1133,-50,True,False,,,,,1,rarb,4,10,2,2,1,1,1,1,1,6,Complejidad excesiva: 22 > 14.,0.157008,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,9,1,1116,1116,-17,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,6,,0.165008,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_6,ivns,A-n33-k5,6,10,1,1093,1093,-23,True,False,,,,,1,rffe,4,14,1,1,1,0,1,1,1,6,,0.214011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,1,1,1592,1592,-184,True,False,,,,,1,rffe,4,14,1,1,1,0,1,1,1,1,,0.043002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,2,1,1499,1499,-93,True,False,,,,,1,rarb,4,10,2,2,1,1,1,1,1,2,Complejidad excesiva: 25 > 14.,0.053002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,3,1,1378,1378,-121,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,3,,0.065003,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,4,1,1378,1378,0,False,False,,,,,0,raabrb,6,14,2,2,1,1,0,1,0,4,Complejidad excesiva: 29 > 14.,0.129006,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,5,1,1305,1305,-73,True,False,,,,,1,rarb,4,10,1,1,1,0,1,1,1,4,,0.140007,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,6,1,1232,1232,-73,True,False,,,,,1,rfg,3,9,5,5,1,4,1,1,1,4,Complejidad excesiva: 22 > 14.,0.154007,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,7,1,1178,1178,-54,True,False,,,,,1,rfrg,4,12,1,1,1,0,1,1,1,5,,0.20001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,8,1,1135,1135,-43,True,False,,,,,1,raac,4,11,2,2,1,1,1,1,1,6,Complejidad excesiva: 25 > 14.,0.20801,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,9,1,1092,1092,-43,True,False,,,,,1,rfg,3,9,3,3,1,2,1,1,1,6,Complejidad excesiva: 21 > 14.,0.220011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_7,ivns,A-n33-k5,7,10,1,1065,1065,-27,True,False,,,,,1,raac,4,11,2,2,1,1,1,1,1,6,Complejidad excesiva: 20 > 14.,0.232011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,1,1,1523,1523,-109,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,1,,0.009001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,2,1,1398,1398,-125,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,2,,0.023001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,3,1,1302,1302,-96,True,False,,,,,1,rffe,4,14,2,2,1,1,1,1,1,3,Longitud excesiva: 11 > 10.,0.075004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,4,1,1223,1223,-79,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,3,,0.096005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,5,1,1203,1203,-20,True,False,,,,,1,rfg,3,9,3,3,1,2,1,1,1,4,Complejidad excesiva: 17 > 14.,0.109005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,6,1,1186,1186,-17,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,4,,0.122006,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,7,1,1170,1170,-16,True,False,,,,,1,rffe,4,14,1,1,1,0,1,1,1,4,,0.174009,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,8,1,1157,1157,-13,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,5,,0.182009,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,9,1,1146,1146,-11,True,False,,,,,1,rfg,3,9,2,2,1,1,1,1,1,5,Complejidad excesiva: 17 > 14.,0.199011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_8,ivns,A-n33-k5,8,10,1,1139,1139,-7,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,5,,0.212011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_9,ivns,A-n33-k5,9,1,1,1491,1491,-160,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,1,,0.008001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_9,ivns,A-n33-k5,9,2,1,1398,1398,-93,True,False,,,,,1,rarb,4,10,3,3,1,2,1,1,1,2,Complejidad excesiva: 17 > 14.,0.019001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_9,ivns,A-n33-k5,9,3,1,1338,1338,-60,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,3,,0.033002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
